Project_ID,Phase_Num,Phase_Name,Cumulative_Delay_Days,Cumulative_Cost_Overrun_Cr,Project_Type,Voltage_Level,Project_Location,Project_Size,Contract_Type,Planned_Duration,Total_Budget_Cr,Start_Date,Engg_%Complete,Engg_Planned_Days,Engg_Actual_Days,Engg_Planned_Cost_Cr,Engg_Actual_Cost_Cr,DPR_Status,Design_Changes,ROW_%Complete,ROW_Planned_Days,ROW_Actual_Days,ROW_Planned_Cost_Cr,ROW_Actual_Cost_Cr,Forest_Clearance,Statutory_Approvals,Supply_%Complete,Supply_Planned_Days,Supply_Actual_Days,Supply_Planned_Cost_Cr,Supply_Actual_Cost_Cr,Orders_Placed,Equip_Delivery_Status,Civil_%Complete,Civil_Planned_Days,Civil_Actual_Days,Civil_Planned_Cost_Cr,Civil_Actual_Cost_Cr,Foundations_Complete,Site_Access,Erection_%Complete,Erection_Planned_Days,Erection_Actual_Days,Erection_Planned_Cost_Cr,Erection_Actual_Cost_Cr,Towers_Erected_Pct,Structures_Complete,Stringing_%Complete,Stringing_Planned_Days,Stringing_Actual_Days,Stringing_Planned_Cost_Cr,Stringing_Actual_Cost_Cr,Conductor_Strung_Pct,Terrain_Type,Testing_%Complete,Testing_Planned_Days,Testing_Actual_Days,Testing_Planned_Cost_Cr,Testing_Actual_Cost_Cr,Trial_Run_Status,DOCO_Date,
Purnea-Biharshariff-400kV-DC-Line,4,Site Preparation/Civil,105,133,Line,400kV,"Bihar, Purnia to Biharsharif",210,EPC,36,500,01-03-2010,100,90,95,50,58,Approved,1,100,150,198,75,118,1,Complete,100,75,82,125,162,1,Delayed,100,100,145,75,105,92,1,,,,,,,,,,,,,,,,,,,,,,
Purnea-Biharshariff-400kV-DC-Line,5,Erection/Construction,153,171,Line,400kV,"Bihar, Purnia to Biharsharif",210,EPC,36,500,01-03-2010,100,90,95,50,58,Approved,1,100,150,198,75,118,1,Complete,100,75,82,125,162,1,Delayed,100,100,145,75,105,92,1,100,120,168,100,138,96,1,,,,,,,,,,,,,,,
Purnea-Biharshariff-400kV-DC-Line,6,Stringing/Cabling,166,183,Line,400kV,"Bihar, Purnia to Biharsharif",210,EPC,36,500,01-03-2010,100,90,95,50,58,Approved,1,100,150,198,75,118,1,Complete,100,75,82,125,162,1,Delayed,100,100,145,75,105,92,1,100,120,168,100,138,96,1,100,85,98,50,62,98,Flat,,,,,,,,
Purnea-Biharshariff-400kV-DC-Line,7,Testing & Commissioning,173,191,Line,400kV,"Bihar, Purnia to Biharsharif",210,EPC,36,500,01-03-2010,100,90,95,50,58,Approved,1,100,150,198,75,118,1,Complete,100,75,82,125,162,1,Delayed,100,100,145,75,105,92,1,100,120,168,100,138,96,1,100,85,98,50,62,98,Flat,100,45,52,25,28,Successful,15-11-2013,
Scheme for enabling import of NER/ER surplus by NR : Bongaigaon – Siliguri 400 kV D/C line,1,Planning/Engineering,-5,1,Line,400kV,"Assam, Bongaigaon; West Bengal, Siliguri",225,TBCB,30,350,01-12-2021,100,90,85,35,36,Approved,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scheme for enabling import of NER/ER surplus by NR : Bongaigaon – Siliguri 400 kV D/C line,2,Approvals & ROW,10,14,Line,400kV,"Assam, Bongaigaon; West Bengal, Siliguri",225,TBCB,30,350,01-12-2021,100,90,85,35,36,Approved,0,100,150,165,52.5,65,1,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scheme for enabling import of NER/ER surplus by NR : Bongaigaon – Siliguri 400 kV D/C line,3,Procurement/Supply,12,17,Line,400kV,"Assam, Bongaigaon; West Bengal, Siliguri",225,TBCB,30,350,01-12-2021,100,90,85,35,36,Approved,0,100,150,165,52.5,65,1,Complete,100,60,62,87.5,90,1,OnTime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scheme for enabling import of NER/ER surplus by NR : Bongaigaon – Siliguri 400 kV D/C line,4,Site Preparation/Civil,27,33,Line,400kV,"Assam, Bongaigaon; West Bengal, Siliguri",225,TBCB,30,350,01-12-2021,100,90,85,35,36,Approved,0,100,150,165,52.5,65,1,Complete,100,60,62,87.5,90,1,OnTime,100,90,105,52.5,62,95,1,,,,,,,,,,,,,,,,,,,,,,
Scheme for enabling import of NER/ER surplus by NR : Bongaigaon – Siliguri 400 kV D/C line,5,Erection/Construction,32,38,Line,400kV,"Assam, Bongaigaon; West Bengal, Siliguri",225,TBCB,30,350,01-12-2021,100,90,85,35,36,Approved,0,100,150,165,52.5,65,1,Complete,100,60,62,87.5,90,1,OnTime,100,90,105,52.5,62,95,1,100,120,125,70,75,98,1,,,,,,,,,,,,,,,
Scheme for enabling import of NER/ER surplus by NR : Bongaigaon – Siliguri 400 kV D/C line,6,Stringing/Cabling,29,37,Line,400kV,"Assam, Bongaigaon; West Bengal, Siliguri",225,TBCB,30,350,01-12-2021,100,90,85,35,36,Approved,0,100,150,165,52.5,65,1,Complete,100,60,62,87.5,90,1,OnTime,100,90,105,52.5,62,95,1,100,120,125,70,75,98,1,100,75,72,35,34,99,Flat,,,,,,,,
Scheme for enabling import of NER/ER surplus by NR : Bongaigaon – Siliguri 400 kV D/C line,7,Testing & Commissioning,26,37,Line,400kV,"Assam, Bongaigaon; West Bengal, Siliguri",225,TBCB,30,350,01-12-2021,100,90,85,35,36,Approved,0,100,150,165,52.5,65,1,Complete,100,60,62,87.5,90,1,OnTime,100,90,105,52.5,62,95,1,100,120,125,70,75,98,1,100,75,72,35,34,99,Flat,100,45,42,17.5,17,Successful,15-11-2024,
System strengthening common for WR and NR : Dhramjaygarh–Jabalpur 765 kV D/C lines,1,Planning/Engineering,-2,2,Line,765kV,"Chhattisgarh, Raigarh; Madhya Pradesh, Jabalpur",379,EPC,30,320,01-01-2024,100,90,88,32,34,Approved,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
System strengthening common for WR and NR : Dhramjaygarh–Jabalpur 765 kV D/C lines,2,Approvals & ROW,43,74,Line,765kV,"Chhattisgarh, Raigarh; Madhya Pradesh, Jabalpur",379,EPC,30,320,01-01-2024,100,90,88,32,34,Approved,0,100,150,195,48,72,1,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
System strengthening common for WR and NR : Dhramjaygarh–Jabalpur 765 kV D/C lines,3,Procurement/Supply,45,130,Line,765kV,"Chhattisgarh, Raigarh; Madhya Pradesh, Jabalpur",379,EPC,30,320,01-01-2024,100,90,88,32,34,Approved,0,100,150,195,48,72,1,Complete,100,70,72,80,88,1,Delayed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
System strengthening common for WR and NR : Dhramjaygarh–Jabalpur 765 kV D/C lines,4,Site Preparation/Civil,70,158,Line,765kV,"Chhattisgarh, Raigarh; Madhya Pradesh, Jabalpur",379,EPC,30,320,01-01-2024,100,90,88,32,34,Approved,0,100,150,195,48,72,1,Complete,100,70,72,80,88,1,Delayed,100,100,125,48,60,96,1,,,,,,,,,,,,,,,,,,,,,,
System strengthening common for WR and NR : Dhramjaygarh–Jabalpur 765 kV D/C lines,5,Erection/Construction,85,184,Line,765kV,"Chhattisgarh, Raigarh; Madhya Pradesh, Jabalpur",379,EPC,30,320,01-01-2024,100,90,88,32,34,Approved,0,100,150,195,48,72,1,Complete,100,70,72,80,88,1,Delayed,100,100,125,48,60,96,1,100,120,135,64,70,97,1,,,,,,,,,,,,,,,
System strengthening common for WR and NR : Dhramjaygarh–Jabalpur 765 kV D/C lines,6,Stringing/Cabling,87,185,Line,765kV,"Chhattisgarh, Raigarh; Madhya Pradesh, Jabalpur",379,EPC,30,320,01-01-2024,100,90,88,32,34,Approved,0,100,150,195,48,72,1,Complete,100,70,72,80,88,1,Delayed,100,100,125,48,60,96,1,100,120,135,64,70,97,1,100,80,82,32,33,98,Forest,,,,,,,,
System strengthening common for WR and NR : Dhramjaygarh–Jabalpur 765 kV D/C lines,7,Testing & Commissioning,88,186,Line,765kV,"Chhattisgarh, Raigarh; Madhya Pradesh, Jabalpur",379,EPC,30,320,01-01-2024,100,90,88,32,34,Approved,0,100,150,195,48,72,1,Complete,100,70,72,80,88,1,Delayed,100,100,125,48,60,96,1,100,120,135,64,70,97,1,100,80,82,32,33,98,Forest,100,45,46,16,17,Successful,15-10-2025,
System strengthening common for WR and NR : Jabalpur–Bina 765 kV S/C line,1,Planning/Engineering,2,3,Line,765kV,"Madhya Pradesh, Jabalpur-Sagar",236,EPC,30,350,01-07-2012,100,90,92,35,38,Approved,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
System strengthening common for WR and NR : Jabalpur–Bina 765 kV S/C line,2,Approvals & ROW,62,48,Line,765kV,"Madhya Pradesh, Jabalpur-Sagar",236,EPC,30,350,01-07-2012,100,90,92,35,38,Approved,1,100,150,210,52.5,85,1,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
System strengthening common for WR and NR : Jabalpur–Bina 765 kV S/C line,3,Procurement/Supply,67,59,Line,765kV,"Madhya Pradesh, Jabalpur-Sagar",236,EPC,30,350,01-07-2012,100,90,92,35,38,Approved,1,100,150,210,52.5,85,1,Complete,100,70,75,87.5,98,1,Delayed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
System strengthening common for WR and NR : Jabalpur–Bina 765 kV S/C line,4,Site Preparation/Civil,87,75,Line,765kV,"Madhya Pradesh, Jabalpur-Sagar",236,EPC,30,350,01-07-2012,100,90,92,35,38,Approved,1,100,150,210,52.5,85,1,Complete,100,70,75,87.5,98,1,Delayed,100,90,110,52.5,68,95,1,,,,,,,,,,,,,,,,,,,,,,
System strengthening common for WR and NR : Jabalpur–Bina 765 kV S/C line,5,Erection/Construction,102,87,Line,765kV,"Madhya Pradesh, Jabalpur-Sagar",236,EPC,30,350,01-07-2012,100,90,92,35,38,Approved,1,100,150,210,52.5,85,1,Complete,100,70,75,87.5,98,1,Delayed,100,90,110,52.5,68,95,1,100,120,135,70,82,96,1,,,,,,,,,,,,,,,
System strengthening common for WR and NR : Jabalpur–Bina 765 kV S/C line,6,Stringing/Cabling,104,91,Line,765kV,"Madhya Pradesh, Jabalpur-Sagar",236,EPC,30,350,01-07-2012,100,90,92,35,38,Approved,1,100,150,210,52.5,85,1,Complete,100,70,75,87.5,98,1,Delayed,100,90,110,52.5,68,95,1,100,120,135,70,82,96,1,100,80,82,35,39,98,Flat,,,,,,,,
System strengthening common for WR and NR : Jabalpur–Bina 765 kV S/C line,7,Testing & Commissioning,105,93,Line,765kV,"Madhya Pradesh, Jabalpur-Sagar",236,EPC,30,350,01-07-2012,100,90,92,35,38,Approved,1,100,150,210,52.5,85,1,Complete,100,70,75,87.5,98,1,Delayed,100,90,110,52.5,68,95,1,100,120,135,70,82,96,1,100,80,82,35,39,98,Flat,100,45,46,17.5,19,Successful,01-07-2015,
System strengthening for WR : 2x1500 MVA 765/400 kV s/s at Bhopal,1,Planning/Engineering,-2,1.4,Substation,765kV,"Madhya Pradesh, Bhopal",3000,EPC,24,350,01-01-2024,100,90,88,35,36.4,Approved,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
System strengthening for WR : 2x1500 MVA 765/400 kV s/s at Bhopal,2,Approvals & ROW,43,82.75,Substation,765kV,"Madhya Pradesh, Bhopal",3000,EPC,24,350,01-01-2024,100,90,88,35,36.4,Approved,0,100,150,195,52.5,78.75,0,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
System strengthening for WR : 2x1500 MVA 765/400 kV s/s at Bhopal,3,Procurement/Supply,45,87.85,Substation,765kV,"Madhya Pradesh, Bhopal",3000,EPC,24,350,01-01-2024,100,90,88,35,36.4,Approved,0,100,150,195,52.5,78.75,0,Complete,100,70,72,87.5,92.6,1,Delayed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
System strengthening for WR : 2x1500 MVA 765/400 kV s/s at Bhopal,4,Site Preparation/Civil,60,99.35,Substation,765kV,"Madhya Pradesh, Bhopal",3000,EPC,24,350,01-01-2024,100,90,88,35,36.4,Approved,0,100,150,195,52.5,78.75,0,Complete,100,70,72,87.5,92.6,1,Delayed,100,90,105,52.5,64.1,95,1,,,,,,,,,,,,,,,,,,,,,,
System strengthening for WR : 2x1500 MVA 765/400 kV s/s at Bhopal,5,Erection/Construction,72,105.35,Substation,765kV,"Madhya Pradesh, Bhopal",3000,EPC,24,350,01-01-2024,100,90,88,35,36.4,Approved,0,100,150,195,52.5,78.75,0,Complete,100,70,72,87.5,92.6,1,Delayed,100,90,105,52.5,64.1,95,1,100,120,132,70,77,98,1,,,,,,,,,,,,,,,
System strengthening for WR : 2x1500 MVA 765/400 kV s/s at Bhopal,6,Stringing/Cabling,74,106.75,Substation,765kV,"Madhya Pradesh, Bhopal",3000,EPC,24,350,01-01-2024,100,90,88,35,36.4,Approved,0,100,150,195,52.5,78.75,0,Complete,100,70,72,87.5,92.6,1,Delayed,100,90,105,52.5,64.1,95,1,100,120,132,70,77,98,1,100,80,82,35,36.4,97,Flat,,,,,,,,
System strengthening for WR : 2x1500 MVA 765/400 kV s/s at Bhopal,7,Testing & Commissioning,75,107.5,Substation,765kV,"Madhya Pradesh, Bhopal",3000,EPC,24,350,01-01-2024,100,90,88,35,36.4,Approved,0,100,150,195,52.5,78.75,0,Complete,100,70,72,87.5,92.6,1,Delayed,100,90,105,52.5,64.1,95,1,100,120,132,70,77,98,1,100,80,82,35,36.4,97,Flat,100,45,46,17.5,18.25,Successful,15-12-2025,
System strengthening for WR : 2x1500 MVA 765/400 kV s/s at Dhule,1,Planning/Engineering,-2,1.4,Substation,765kV,"Maharashtra, Dhule",3000,TBCB,28,280,15-02-2010,100,90,88,28,29.4,Approved,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
System strengthening for WR : 2x1500 MVA 765/400 kV s/s at Dhule,2,Approvals & ROW,13,18.2,Substation,765kV,"Maharashtra, Dhule",3000,TBCB,28,280,15-02-2010,100,90,88,28,29.4,Approved,1,100,150,165,42,58.8,1,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
System strengthening for WR : 2x1500 MVA 765/400 kV s/s at Dhule,3,Procurement/Supply,15,25.2,Substation,765kV,"Maharashtra, Dhule",3000,TBCB,28,280,15-02-2010,100,90,88,28,29.4,Approved,1,100,150,165,42,58.8,1,Complete,100,70,72,70,77,1,OnTime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
System strengthening for WR : 2x1500 MVA 765/400 kV s/s at Dhule,4,Site Preparation/Civil,33,40.48,Substation,765kV,"Maharashtra, Dhule",3000,TBCB,28,280,15-02-2010,100,90,88,28,29.4,Approved,1,100,150,165,42,58.8,1,Complete,100,70,72,70,77,1,OnTime,100,90,108,42,56.28,92,1,,,,,,,,,,,,,,,,,,,,,,
System strengthening for WR : 2x1500 MVA 765/400 kV s/s at Dhule,5,Erection/Construction,41,47.68,Substation,765kV,"Maharashtra, Dhule",3000,TBCB,28,280,15-02-2010,100,90,88,28,29.4,Approved,1,100,150,165,42,58.8,1,Complete,100,70,72,70,77,1,OnTime,100,90,108,42,56.28,92,1,100,120,128,56,67.2,98,1,,,,,,,,,,,,,,,
System strengthening for WR : 2x1500 MVA 765/400 kV s/s at Dhule,6,Stringing/Cabling,41,47.68,Substation,765kV,"Maharashtra, Dhule",3000,TBCB,28,280,15-02-2010,100,90,88,28,29.4,Approved,1,100,150,165,42,58.8,1,Complete,100,70,72,70,77,1,OnTime,100,90,108,42,56.28,92,1,100,120,128,56,67.2,98,1,100,0,0,0,0,100,Flat,,,,,,,,
System strengthening for WR : 2x1500 MVA 765/400 kV s/s at Dhule,7,Testing & Commissioning,38,48.38,Substation,765kV,"Maharashtra, Dhule",3000,TBCB,28,280,15-02-2010,100,90,88,28,29.4,Approved,1,100,150,165,42,58.8,1,Complete,100,70,72,70,77,1,OnTime,100,90,108,42,56.28,92,1,100,120,128,56,67.2,98,1,100,0,0,0,0,100,Flat,100,45,42,14,14.7,Successful,06-12-2014,
System strengthening for WR : Aurangabad–Dhule 765 kV S/C line,1,Planning/Engineering,-2,1,Line,765kV,"Maharashtra, Aurangabad-Dhule",192,EPC,24,350,01-01-2024,100,90,88,35,36,Approved,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
System strengthening for WR : Aurangabad–Dhule 765 kV S/C line,2,Approvals & ROW,28,82.75,Line,765kV,"Maharashtra, Aurangabad-Dhule",192,EPC,24,350,01-01-2024,100,90,88,35,36,Approved,0,100,150,180,52.5,78.75,1,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
System strengthening for WR : Aurangabad–Dhule 765 kV S/C line,3,Procurement/Supply,30,179,Line,765kV,"Maharashtra, Aurangabad-Dhule",192,EPC,24,350,01-01-2024,100,90,88,35,36,Approved,0,100,150,180,52.5,78.75,1,Complete,100,70,72,87.5,96.25,1,Delayed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
System strengthening for WR : Aurangabad–Dhule 765 kV S/C line,4,Site Preparation/Civil,45,189.5,Line,765kV,"Maharashtra, Aurangabad-Dhule",192,EPC,24,350,01-01-2024,100,90,88,35,36,Approved,0,100,150,180,52.5,78.75,1,Complete,100,70,72,87.5,96.25,1,Delayed,100,90,105,52.5,63,95,1,,,,,,,,,,,,,,,,,,,,,,
System strengthening for WR : Aurangabad–Dhule 765 kV S/C line,5,Erection/Construction,55,195.5,Line,765kV,"Maharashtra, Aurangabad-Dhule",192,EPC,24,350,01-01-2024,100,90,88,35,36,Approved,0,100,150,180,52.5,78.75,1,Complete,100,70,72,87.5,96.25,1,Delayed,100,90,105,52.5,63,95,1,100,120,130,70,77,98,1,,,,,,,,,,,,,,,
System strengthening for WR : Aurangabad–Dhule 765 kV S/C line,6,Stringing/Cabling,57,196.9,Line,765kV,"Maharashtra, Aurangabad-Dhule",192,EPC,24,350,01-01-2024,100,90,88,35,36,Approved,0,100,150,180,52.5,78.75,1,Complete,100,70,72,87.5,96.25,1,Delayed,100,90,105,52.5,63,95,1,100,120,130,70,77,98,1,100,80,82,35,36.4,97,Flat,,,,,,,,
System strengthening for WR : Aurangabad–Dhule 765 kV S/C line,7,Testing & Commissioning,58,197.15,Line,765kV,"Maharashtra, Aurangabad-Dhule",192,EPC,24,350,01-01-2024,100,90,88,35,36,Approved,0,100,150,180,52.5,78.75,1,Complete,100,70,72,87.5,96.25,1,Delayed,100,90,105,52.5,63,95,1,100,120,130,70,77,98,1,100,80,82,35,36.4,97,Flat,100,45,46,17.5,18.25,Successful,15-12-2024,
System strengthening for WR : Bhopal–Indore 765 kV S/C line,1,Planning/Engineering,-5,2,Line,765kV,"Madhya Pradesh, Bhopal-Indore",180,EPC,24,280,01-01-2024,100,90,85,28,30,Approved,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
System strengthening for WR : Bhopal–Indore 765 kV S/C line,2,Approvals & ROW,40,35,Line,765kV,"Madhya Pradesh, Bhopal-Indore",180,EPC,24,280,01-01-2024,100,90,85,28,30,Approved,0,100,150,195,42,65,1,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
System strengthening for WR : Bhopal–Indore 765 kV S/C line,3,Procurement/Supply,42,43,Line,765kV,"Madhya Pradesh, Bhopal-Indore",180,EPC,24,280,01-01-2024,100,90,85,28,30,Approved,0,100,150,195,42,65,1,Complete,100,70,72,70,78,1,Delayed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
System strengthening for WR : Bhopal–Indore 765 kV S/C line,4,Site Preparation/Civil,60,57,Line,765kV,"Madhya Pradesh, Bhopal-Indore",180,EPC,24,280,01-01-2024,100,90,85,28,30,Approved,0,100,150,195,42,65,1,Complete,100,70,72,70,78,1,Delayed,100,90,108,42,52,96,1,,,,,,,,,,,,,,,,,,,,,,
System strengthening for WR : Bhopal–Indore 765 kV S/C line,5,Erection/Construction,75,73,Line,765kV,"Madhya Pradesh, Bhopal-Indore",180,EPC,24,280,01-01-2024,100,90,85,28,30,Approved,0,100,150,195,42,65,1,Complete,100,70,72,70,78,1,Delayed,100,90,108,42,52,96,1,100,120,135,56,64,97,1,,,,,,,,,,,,,,,
System strengthening for WR : Bhopal–Indore 765 kV S/C line,6,Stringing/Cabling,77,75,Line,765kV,"Madhya Pradesh, Bhopal-Indore",180,EPC,24,280,01-01-2024,100,90,85,28,30,Approved,0,100,150,195,42,65,1,Complete,100,70,72,70,78,1,Delayed,100,90,108,42,52,96,1,100,120,135,56,64,97,1,100,80,82,28,30,98,Flat,,,,,,,,
System strengthening for WR : Bhopal–Indore 765 kV S/C line,7,Testing & Commissioning,78,76,Line,765kV,"Madhya Pradesh, Bhopal-Indore",180,EPC,24,280,01-01-2024,100,90,85,28,30,Approved,0,100,150,195,42,65,1,Complete,100,70,72,70,78,1,Delayed,100,90,108,42,52,96,1,100,120,135,56,64,97,1,100,80,82,28,30,98,Flat,100,45,46,14,15,Successful,15-12-2025,
System strengthening for WR : Dhule–Dhule (Mah) 400 kV D/C line,1,Planning/Engineering,-2,1,Line,400kV,"Maharashtra, Dhule",50,EPC,24,250,01-01-2024,100,90,88,25,26,Approved,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
System strengthening for WR : Dhule–Dhule (Mah) 400 kV D/C line,2,Approvals & ROW,13,41,Line,400kV,"Maharashtra, Dhule",50,EPC,24,250,01-01-2024,100,90,88,25,26,Approved,0,100,150,165,37.5,52,1,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
System strengthening for WR : Dhule–Dhule (Mah) 400 kV D/C line,3,Procurement/Supply,15,46,Line,400kV,"Maharashtra, Dhule",50,EPC,24,250,01-01-2024,100,90,88,25,26,Approved,0,100,150,165,37.5,52,1,Complete,100,60,62,62.5,67,1,OnTime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
System strengthening for WR : Dhule–Dhule (Mah) 400 kV D/C line,4,Site Preparation/Civil,30,57,Line,400kV,"Maharashtra, Dhule",50,EPC,24,250,01-01-2024,100,90,88,25,26,Approved,0,100,150,165,37.5,52,1,Complete,100,60,62,62.5,67,1,OnTime,100,90,105,37.5,48,98,1,,,,,,,,,,,,,,,,,,,,,,
System strengthening for WR : Dhule–Dhule (Mah) 400 kV D/C line,5,Erection/Construction,38,62,Line,400kV,"Maharashtra, Dhule",50,EPC,24,250,01-01-2024,100,90,88,25,26,Approved,0,100,150,165,37.5,52,1,Complete,100,60,62,62.5,67,1,OnTime,100,90,105,37.5,48,98,1,100,120,128,50,55,96,1,,,,,,,,,,,,,,,
